doi;year;authors;title;abstract;citations
10.2514/6.2018-3847;2018;C.+Silva W.+Johnson K.+R.+Antcliff M.+D.+Patterson;Vtol Urban Air Mobility Concept Vehicles For Technology Development;The current push for Urban Air Mobility (UAM) is predicated on the feasibility of novel aircraft types, which will be enabled by the near-term availability of mature technology for high performance subsystems. A number of candidate concept aircraft are presently being designed to meet a set of UAM requirements, in order to quantify the tradeoffs and performance targets necessary for practical implementation of the UAM vision. In examining these vehicles, performance targets and recurring technology themes emerge, which may guide investments in research and development within NASA, other government agencies, academia, and industry. 2018, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;186
10.2514/6.2018-3676;2018;D.+P.+Thipphavong R.+D.+Apaza B.+E.+Barmore V.+Battiste C.+M.+Belcastro B.+K.+Burian Q.+V.+Dao M.+S.+Feary S.+Go K.+H.+Goodrich J.+R.+Homola H.+R.+Idris P.+H.+Kopardekar J.+B.+Lachter N.+A.+Neogi H.+K.+Ng R.+M.+Oseguera-Lohr M.+D.+Patterson S.+A.+Verma;Urban Air Mobility Airspace Integration Concepts And Considerations;Urban Air Mobilitydefined as safe and efficient air traffic operations in a metropolitan area for manned aircraft and unmanned aircraft systemsis being researched and developed by industry, academia, and government. Significant resources have been invested toward cultivating an ecosystem for Urban Air Mobility that includes manufacturers of electric vertical takeoff and landing aircraft, builders of takeoff and landing areas, and researchers of the airspace integration concepts, technologies, and procedures needed to conduct Urban Air Mobility operations safely and efficiently alongside other airspace users. This paper provides high-level descriptions of both emergent and early expanded operational concepts for Urban Air Mobility that NASA is developing. The scope of this work is defined in terms of missions, aircraft, airspace, and hazards. Past and current Urban Air Mobility operations are also reviewed, and the considerations for the data exchange architecture and communication, navigation, and surveillance requirements are also discussed. This paper will serve as a starting point to develop a framework for NASAs Urban Air Mobility airspace integration research and development efforts with partners and stakeholders that could include fast-time simulations, human-in-the-loop simulations, and flight demonstrations. 2018, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;169
N/A;2018;W.+Johnson C.+Silva E.+Solis;Concept Vehicles For Vtol Air Taxi Operations;Concept vehicles are presented for air taxi operations, also known as urban air mobility or on-demand mobility applications. Considering the design-space dimensions of payload (passengers and pilot), range, aircraft type, and propulsion system, three aircraft are designed: a single-passenger (250-lb payload), 50-nm range quadrotor with electric propulsion, a six-passenger (1200-lb payload), 4x50 = 200-nm range side-by-side helicopter with hybrid propulsion, and a fifteen-passenger (3000-lb payload), 8x50 = 400-nm range tiltwing with turbo-electric propulsion. These concept vehicles are intended to focus and guide NASA research activities in support of aircraft development for emerging aviation markets, in particular VTOL air taxi operations. Research areas are discussed, illustrated by results from the design of the concept vehicles. Copyright 2018 by AHS International, Inc. All rights reserved.;163
10.2514/6.2018-1266;2018;P.+Ventura S.+Yoon;High-Fidelity Computational Aerodynamics Of Multi-Rotor Unmanned Aerial Vehicles;High-fidelity Computational Fluid Dynamics (CFD) simulations have been carried out for several multi-rotor Unmanned Aerial Vehicles (UAVs). Three vehicles have been studied: the classic quadcopter DJI Phantom 3, an unconventional quadcopter specialized for forward flight, the SUI Endurance, and an innovative concept for Urban Air Mobility (UAM), the Elytron 4S UAV. The three-dimensional unsteady Navier-Stokes equations are solved on overset grids using high-order accurate schemes, dual-time stepping, and a hybrid turbulence model. The DJI Phantom 3 is simulated with different rotors and with both a simplified airframe and the real airframe including landing gear and a camera. The effects of weather are studied for the DJI Phantom 3 quadcopter in hover. The SUI Endurance original design is compared in forward flight to a new configuration conceived by the authors, the hybrid configuration, which gives a large improvement in forward thrust. The Elytron 4S UAV is simulated in helicopter mode and in airplane mode. Understanding the complex flows in multi-rotor vehicles will help design quieter, safer, and more efficient future drones and UAM vehicles. 2018 by the American Institute of Aeronautics and Astronautics, Inc. All rights reserved.;107
10.1016/j.jairtraman.2020.101852;2020;A.+Straubinger R.+Rothfeld M.+Shamiyeh K.+D.+Bchter J.+Kaiser K.+O.+Pltner;An Overview Of Current Research And Developments In Urban Air Mobility  Setting The Scene For Uam Introduction;Recent technological advances provide the means for potentially realizing urban air mobility (UAM) as a passenger transport mode for intra- and inter-urban transport. However, questions regarding regulations, infrastructure requirements, and economic constraints remain to be answered. Therefore, this review aims at giving an overview on different research areas in the emerging topic of UAM. To this end, findings from several fields within the UAM research community were gathered and are presented here to provide a landscape of relevant questions surrounding the implementation of UAM. This overview considers vehicle-related aspects, such as aircraft requirements and aircraft classification for intra- and inter-city passenger transport, and discusses potential hurdles to their introduction. The exploration of challenges includes questions on certification and policy, as well as challenges in the area of traffic management and ground infrastructure requirements. Besides that, literature on operational concepts, possible market structures and the interaction with existing transport systems will be reviewed. The discussion of hurdles will conclude with a summary of current literature on public acceptance of UAM. An overview of methods for modelling and simulation of UAM will wrap up the prior discussion and provide insights on first modelling results. 2020 Elsevier Ltd;70
10.1016/j.tra.2019.12.020;2020;C.+Al E.+Chaniotakis A.+Straubinger K.+Pltner C.+Antoniou;Factors Affecting The Adoption And Use Of Urban Air Mobility;Technological advances have recently led to the development of urban air mobility (UAM), an alternative transportation mode with several concepts including vehicles operated by on-demand fully-automated vertical take-off and landing aircraft (VTOL) for intra-city passenger transportation. However, despite a growing interest in UAM, understanding users perceptions to it remains limited. This research aims to identify and quantify the factors affecting the adoption and use of UAM, based on relevant tools from the literature, such as recurring factors in studies on aerial vehicle concepts, ground autonomous vehicles, but also acceptance models, such as the Technology Acceptance Model by Davis et al. (1989). A stated-preference survey was developed to assess the perception of users in terms of adoption time horizon, including options such as the first six years of the service's implementation, unsure, and never. The obtained results were evaluated using exploratory factor analyses, and the specification and estimation of suitable discrete choice models, multinomial logit models (MNLs) and ordered logit models (OLMs), with adoption time horizon as dependent variable. Findings revealed the importance of safety and trust, affinity to automation, data concerns, social attitude, and socio-demographics for adoption. Factors, such as the value of time savings, the perception of automation costs, and service reliability, were also found to be highly influential. There was also an indication that skeptical respondents, i.e. answering unsure, had a behavior similar to late and non-adopters, i.e. adoption time horizon higher than six years or answering never. The summarized results were represented in an extended Technology Acceptance Model for urban air mobility, and provided insights for policymakers and industrial stakeholders. 2019 Elsevier Ltd;69
10.1177/0361198119843858;2019;M.+Fu R.+Rothfeld C.+Antoniou;Exploring Preferences For Transportation Modes In An Urban Air Mobility Environment: Munich Case Study;Urban Air Mobility (UAM) is a recent mobility concept with the potential to reduce travel time and change travel patterns. When evaluating the introduction of UAM, understanding the potential users choice behavior regarding current available urban transportation modes and autonomous transportation services is essential to demand estimation. This preliminary research intends to gain insight into the travel behavior impacts of autonomous transportation modes, especially UAM, by deriving measures for transportation service attributes and identifying characteristics of potential users who might adopt autonomous transportation services, particularly the services of UAM. Thus, a stated preference questionnaire was designed and distributed in Munich metropolitan region. A main mode choice multinomial logit model and several sub-models, based on market segmentation, were estimated regarding four transportation alternatives: private car, public transportation, autonomous taxi, and autonomous flying taxi. The results indicate that travel time, travel cost, and safety may be critical determinants in autonomous transportation mode adoption. The potential consumers may be willing to pay more for using autonomous transportation modes, especially the service of UAM. Among different market segments, younger individuals, as well as older individuals with high household income, are more likely to adopt UAM. In addition, during the market entry stage, potential travelers may favor UAM particularly for performing non-commuting trips. National Academy of Sciences: Transportation Research Board 2019.;66
10.3390/aerospace7030024;2020;C.+Barrado M.+Boyero L.+Brucculeri G.+Ferrara A.+Hately P.+Hullah D.+Martin-Marrero E.+Pastor A.+P.+Rushton A.+Volkert;U-Space Concept Of Operations: A Key Enabler For Opening Airspace To Emerging Low-Altitude Operations;Opening the sky to new classes of airspace user is a political and economic imperative for the European Union. Drone industries have a significant potential for economical growth according to the latest estimations. To enable this growth safely and efficiently, the CORUS project has developed a concept of operations for drones flying in Europe in very low-level airspace, which they have to share that space with manned aviation, and quite soon with urban air mobility aircraft as well. U-space services and the development of smart, automated, interoperable, and sustainable traffic management solutions are presented as the key enabler for achieving this high level of integration. In this paper, we present the U-space concept of operations (ConOps), produced around three new types of airspace volume, called X, Y, and Z, and the relevant U-space services that will need to be supplied in each of these. The paper also describes the reference high-level U-space architecture using the European air traffic management architecture methodology. Finally, the paper proposes the basis for the aircraft separation standards applicable by each volume, to be used by the conflict detection and resolution services of U-space. 2019 by the authors.;55
10.2514/6.2018-3365;2018;C.+S.+Bosson T.+A.+Lauderdale;Simulation Evaluations Of An Autonomous Urban Air Mobility Network Management And Separation Service;This paper presents an initial implementation of an autonomous Urban Air Mobility network management and aircraft separation service for urban airspace that does 1) departure and arrival scheduling across the network, 2) continuous trajectory management to ensure safe separation between aircraft, and 3) seamless integration with traditional operations. The highly-autonomous AutoResolver algorithm developed for traditional aviation was extended to provide these capabilities. An evaluation of this initial implementation was conducted in fast-time simulations using a dense, two-hour traffic scenario with Urban Air Mobility aircraft flying between a network of 20 vertiports in the Dallas-Fort Worth metroplex. When the spatial separation was reduced from 0.3nmi to 0.1nmi, the total delay decreased by 7.3%, when the temporal separation was reduced from 60s to 45s, the total delay decreased by 28.4%. The total number of conflict resolutions decreased by 26% and 17%, respectively. Furthermore, when a scheduling horizon greater than the duration of UAM flights was used (50min), most conflicts were resolved pre-departure producing ground delay. By comparison, when a shorter scheduling horizon was used (8min), most conflicts were resolved post-departure generating airborne delay. For all scheduling and separation constraints tested, AutoResolver prevented loss of separation from occurring. Urban Air Mobility operations have the ability to revolutionize how people and goods are transported and this paper presents initial research focusing on the high levels of autonomy required for an airspace system capable of scaling to handle significantly higher densities of aircraft. 2018, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;49
N/A;2018;M.+D.+Patterson K.+R.+Antcliff L.+W.+Kohlman;A Proposed Approach To Studying Urban Air Mobility Missions Including An Initial Exploration Of Mission Requirements;Urban air mobility (UAM) is an emerging aviation market that seeks to revolutionize mobility around metropolitan areas via a safe, efficient, and accessible on-demand air transportation system for passengers and cargo. In this paper we describe our three-pronged approach to studying passenger-carrying UAM missions, and we detail the first phase of this approach, which consists of defining an initial set of requirements for multiple exemplar UAM missions. The development of these mission requirements provides justifiable assumptions that feed the second phase of the approach, which is performing aircraft conceptual design studies. Vehicle design is not included in this paper, but the work described here will define sizing missions for follow-on design and sizing studies. The aircraft that emerge from the design studies can then feed the third phase of our UAM analysis approach, which involves simulating an entire UAM network over a metropolitan area to study transportation-system level characteristics. Iteration between each of the three phases of the UAM analysis approach will be necessary to propagate lessons learned as our research progresses and as the UAM community coalesces on a more unified vision for UAM. Therefore, we anticipate that the mission requirements set forth in this paper will be modified over time as the urban air mobility concept matures. Copyright 2017 by AHS International, Inc. All rights reserved.;47
